complaint_id,complaint_text,category,priority,complexity,recommended_team
CMP-0072,The service is unavailable and I cannot use the application. Please help me resolve this.,Technical,Medium,Medium,Technical Support
CMP-0073,I cannot complete account verification.,Account,High,High,Account Support
CMP-0074,I need help with an issue not listed in the available categories. Can you assist me with this?,Other,Low,Medium,General Support
CMP-0075,I received the wrong item in my delivery. This needs to be checked.,Delivery,High,Low,Delivery Support
CMP-0076,The payment failed but money was deducted from my account. Please help me resolve this.,Billing,Medium,Medium,Billing Support
CMP-0077,The promised service has not started. This needs to be checked.,Service,Low,Medium,Service Support
CMP-0078,I cannot access the dashboard after logging in. Please help me resolve this.,Technical,Low,Low,Technical Support
CMP-0079,I am not sure which department can help with my issue. This needs to be checked.,Other,Medium,High,General Support
CMP-0080,The service is unavailable and I cannot use the application. Please help me resolve this.,Technical,Medium,Low,Technical Support
CMP-0081,I need help understanding a charge on my account. Please help me resolve this.,Billing,High,High,Billing Support
CMP-0082,The assigned service was incomplete. Please help me resolve this.,Service,High,Medium,Service Support
CMP-0083,My profile information is incorrect. I would like an update.,Account,Low,High,Account Support
CMP-0084,The service representative did not resolve my issue. I have been facing this issue recently.,Service,Medium,Medium,Service Support
CMP-0085,The delivered item is missing from my order.,Delivery,High,High,Delivery Support
CMP-0086,The application stopped working after the latest update. I would like an update.,Technical,Urgent,Medium,Technical Support
CMP-0087,The service representative did not resolve my issue. This needs to be checked.,Service,Medium,Medium,Service Support
CMP-0088,My account settings are not saving. Please help me resolve this.,Account,High,Medium,Account Support
CMP-0089,The refund amount I received is incorrect. Can you assist me with this?,Billing,Medium,High,Billing Support
CMP-0090,Please guide me regarding my request. I would like an update.,Other,Low,High,General Support
CMP-0091,I received a service different from what I requested. I would like an update.,Service,Medium,Low,Service Support
CMP-0092,The promised service has not started. I would like an update.,Service,Medium,Low,Service Support
CMP-0093,I would like more information about the available services. Can you assist me with this?,Other,Low,Medium,General Support
CMP-0094,I cannot access my registered account. Can you assist me with this?,Account,Medium,Medium,Account Support
CMP-0095,I was charged an unexpected service fee. I would like an update.,Billing,High,Medium,Billing Support
CMP-0096,The delivered item is missing from my order. This needs to be checked.,Delivery,Medium,Medium,Delivery Support
CMP-0097,I need an update on my delivery. I have been facing this issue recently.,Delivery,High,Low,Delivery Support
CMP-0098,My package has been delayed unexpectedly. I would like an update.,Delivery,High,High,Delivery Support
CMP-0099,The service is unavailable and I cannot use the application. Please help me resolve this.,Technical,Low,Low,Technical Support
CMP-0100,My refund has not been credited yet. This needs to be checked.,Billing,Medium,Medium,Billing Support
CMP-0101,I need help changing my account details. I have been facing this issue recently.,Account,Medium,Medium,Account Support
CMP-0102,The login credentials are not being accepted. This needs to be checked.,Account,High,Medium,Account Support
CMP-0103,I was charged twice for the same transaction. This needs to be checked.,Billing,High,High,Billing Support
CMP-0104,I have a general support question. This needs to be checked.,Other,Low,Low,General Support
CMP-0105,I need help understanding a charge on my account. Please help me resolve this.,Billing,Low,Medium,Billing Support
CMP-0106,My package has been delayed unexpectedly. I would like an update.,Delivery,Low,High,Delivery Support
CMP-0107,The delivery address was not handled correctly. This needs to be checked.,Delivery,Low,Medium,Delivery Support
CMP-0108,I am unable to upload a required document. This needs to be checked.,Technical,High,Low,Technical Support
CMP-0109,I would like more information about the available services. Can you assist me with this?,Other,Low,Low,General Support
CMP-0110,My account details need to be updated. I have been facing this issue recently.,Account,High,Low,Account Support
CMP-0111,The promised service has not started.,Service,High,Low,Service Support
CMP-0112,I need help with an issue not listed in the available categories. I have been facing this issue recently.,Other,Low,Medium,General Support
CMP-0113,The promised service has not started. This needs to be checked.,Service,Medium,Low,Service Support
CMP-0114,I need help changing my account details. Can you assist me with this?,Account,Low,Low,Account Support
CMP-0115,My order was marked delivered but I did not receive it. This needs to be checked.,Delivery,Urgent,Medium,Delivery Support
CMP-0116,I need help changing my account details. Can you assist me with this?,Account,Medium,Medium,Account Support
CMP-0117,My package arrived damaged. This needs to be checked.,Delivery,High,Medium,Delivery Support
CMP-0118,My billing statement contains an incorrect charge. I would like an update.,Billing,Medium,Medium,Billing Support
CMP-0119,I need help with an issue not listed in the available categories. This needs to be checked.,Other,Medium,High,General Support
CMP-0120,My order has not been delivered yet. This needs to be checked.,Delivery,Medium,Medium,Delivery Support
CMP-0121,My billing statement contains an incorrect charge. Please help me resolve this.,Billing,Low,Low,Billing Support
CMP-0122,I am unhappy with the support service I received. I would like an update.,Service,High,Low,Service Support
CMP-0123,I am unable to update my email address. This needs to be checked.,Account,High,Low,Account Support
CMP-0124,The refund amount I received is incorrect.,Billing,Low,Low,Billing Support
CMP-0125,I have a question that is not covered in the FAQ. I have been facing this issue recently.,Other,Low,Low,General Support
CMP-0126,The mobile application keeps showing an error.,Technical,Medium,Low,Technical Support
CMP-0127,My account details need to be updated. Can you assist me with this?,Account,Low,Medium,Account Support
CMP-0128,The service representative did not resolve my issue. Please help me resolve this.,Service,Medium,High,Service Support
CMP-0129,I have a question that is not covered in the FAQ. Please help me resolve this.,Other,Medium,Low,General Support
CMP-0130,I was charged an unexpected service fee. Can you assist me with this?,Billing,Medium,High,Billing Support
CMP-0131,My account appears to be locked.,Account,Medium,High,Account Support
CMP-0132,The website is not loading for me. I have been facing this issue recently.,Technical,Medium,High,Technical Support
CMP-0133,The delivery is delayed beyond the expected date. Can you assist me with this?,Delivery,Medium,Low,Delivery Support
CMP-0134,My profile information is incorrect.,Account,Medium,Low,Account Support
CMP-0135,The login credentials are not being accepted.,Account,Medium,Medium,Account Support
CMP-0136,I cannot access my registered account. This needs to be checked.,Account,High,Medium,Account Support
CMP-0137,I would like more information about the available services. Can you assist me with this?,Other,Medium,Medium,General Support
CMP-0138,The login credentials are not being accepted. This needs to be checked.,Account,Low,Medium,Account Support
CMP-0139,I need an update about my service request.,Service,High,Medium,Service Support
CMP-0140,My account settings are not saving. Can you assist me with this?,Account,Medium,Low,Account Support
CMP-0141,My profile information is incorrect. Please help me resolve this.,Account,Medium,Medium,Account Support
CMP-0142,The service representative did not resolve my issue. I would like an update.,Service,Low,Medium,Service Support
CMP-0143,The promised service has not started.,Service,Medium,Low,Service Support
CMP-0144,The page keeps loading and never opens. This needs to be checked.,Technical,Medium,Low,Technical Support
CMP-0145,The login credentials are not being accepted. This needs to be checked.,Account,Medium,Low,Account Support
CMP-0146,The page keeps loading and never opens. I have been facing this issue recently.,Technical,High,Medium,Technical Support
CMP-0147,My service request is still pending. Can you assist me with this?,Service,Medium,Medium,Service Support
CMP-0148,I have a general support question. I would like an update.,Other,Low,Medium,General Support
CMP-0149,The assigned service was incomplete. Please help me resolve this.,Service,High,Low,Service Support
CMP-0150,The refund amount I received is incorrect. I have been facing this issue recently.,Billing,High,Low,Billing Support
CMP-0151,I am unable to update my email address. I have been facing this issue recently.,Account,Medium,Medium,Account Support
CMP-0152,The delivery status has not changed for several days.,Delivery,Low,Low,Delivery Support
CMP-0153,My scheduled service has been delayed. I would like an update.,Service,Urgent,Medium,Service Support
CMP-0154,The service I requested has not been provided yet.,Service,Medium,Medium,Service Support
CMP-0155,I am unable to upload a required document.,Technical,Low,Medium,Technical Support
CMP-0156,The login credentials are not being accepted. This needs to be checked.,Account,Medium,High,Account Support
CMP-0157,My service request is still pending.,Service,Low,Medium,Service Support
CMP-0158,My subscription payment was processed incorrectly. I have been facing this issue recently.,Billing,Medium,Low,Billing Support
CMP-0159,The delivery status has not changed for several days.,Delivery,Low,Low,Delivery Support
CMP-0160,My account settings are not saving. Can you assist me with this?,Account,Medium,Low,Account Support
CMP-0161,My order was marked delivered but I did not receive it. This needs to be checked.,Delivery,Low,Low,Delivery Support
CMP-0162,My order was marked delivered but I did not receive it. I would like an update.,Delivery,Medium,Low,Delivery Support
CMP-0163,I have a question that is not covered in the FAQ. Please help me resolve this.,Other,Low,Low,General Support
CMP-0164,The invoice amount is different from the amount I paid. Please help me resolve this.,Billing,High,Low,Billing Support
CMP-0165,My billing statement contains an incorrect charge. This needs to be checked.,Billing,Medium,Medium,Billing Support
CMP-0166,My refund has not been credited yet. I would like an update.,Billing,Medium,Medium,Billing Support
CMP-0167,My account details need to be updated. I have been facing this issue recently.,Account,High,Low,Account Support
CMP-0168,I need assistance with something else. I have been facing this issue recently.,Other,Medium,Low,General Support
CMP-0169,The refund amount I received is incorrect. Please help me resolve this.,Billing,Medium,High,Billing Support
CMP-0170,The website is not loading for me.,Technical,High,Low,Technical Support
CMP-0171,I need assistance with something else. I would like an update.,Other,Low,Medium,General Support
CMP-0172,I am unhappy with the support service I received. I would like an update.,Service,Medium,Medium,Service Support
CMP-0173,My subscription payment was processed incorrectly.,Billing,Low,Medium,Billing Support
CMP-0174,The delivery status has not changed for several days.,Delivery,High,High,Delivery Support
CMP-0175,My package has been delayed unexpectedly.,Delivery,Low,Medium,Delivery Support
CMP-0176,I received a service different from what I requested.,Service,Medium,Low,Service Support
CMP-0177,I need an update on my delivery. I would like an update.,Delivery,High,Medium,Delivery Support
CMP-0178,Please help me understand the complaint process.,Other,Low,Medium,General Support
CMP-0179,The service quality was not as expected. Please help me resolve this.,Service,Medium,Medium,Service Support
CMP-0180,I am unhappy with the support service I received. Can you assist me with this?,Service,Urgent,Low,Service Support
CMP-0181,The service representative did not resolve my issue.,Service,Low,Medium,Service Support
CMP-0182,My order has not been delivered yet. I have been facing this issue recently.,Delivery,Low,Medium,Delivery Support
CMP-0183,My refund has not been credited yet. Can you assist me with this?,Billing,Medium,Medium,Billing Support
CMP-0184,Please help me understand the complaint process.,Other,Low,Medium,General Support
CMP-0185,My service request is still pending. I have been facing this issue recently.,Service,Medium,Low,Service Support
CMP-0186,I need assistance with something else. Please help me resolve this.,Other,Medium,Low,General Support
CMP-0187,The refund amount I received is incorrect. This needs to be checked.,Billing,High,High,Billing Support
CMP-0188,I need help understanding a charge on my account.,Billing,Medium,Low,Billing Support
CMP-0189,I would like more information about the available services. Can you assist me with this?,Other,Medium,Medium,General Support
CMP-0190,The login credentials are not being accepted. Please help me resolve this.,Account,Medium,Low,Account Support
CMP-0191,The application stopped working after the latest update. Can you assist me with this?,Technical,Medium,Low,Technical Support
CMP-0192,I was charged an unexpected service fee. This needs to be checked.,Billing,Medium,Medium,Billing Support
CMP-0193,The service I requested has not been provided yet. I would like an update.,Service,Medium,High,Service Support
CMP-0194,I need an update on my delivery. Please help me resolve this.,Delivery,Medium,Medium,Delivery Support
CMP-0195,The promised service has not started. Can you assist me with this?,Service,Medium,High,Service Support
CMP-0196,The mobile application keeps showing an error. Can you assist me with this?,Technical,Medium,High,Technical Support
CMP-0197,I cannot reset my account password. I would like an update.,Account,Medium,Medium,Account Support
CMP-0198,I need help changing my account details. I have been facing this issue recently.,Account,Medium,Medium,Account Support
CMP-0199,I am unable to upload a required document.,Technical,High,High,Technical Support
CMP-0200,The service quality was not as expected. This needs to be checked.,Service,High,High,Service Support
CMP-0201,The invoice amount is different from the amount I paid. This needs to be checked.,Billing,Low,High,Billing Support
CMP-0202,I need help understanding a charge on my account. I would like an update.,Billing,Medium,Medium,Billing Support
CMP-0203,I have a question that is not covered in the FAQ. I would like an update.,Other,Medium,High,General Support
CMP-0204,My profile information is incorrect. I have been facing this issue recently.,Account,Medium,Medium,Account Support
CMP-0205,My order has not been delivered yet. Can you assist me with this?,Delivery,Urgent,Medium,Delivery Support
CMP-0206,I need an update about my service request. I have been facing this issue recently.,Service,High,High,Service Support
CMP-0207,I have a question that is not covered in the FAQ. This needs to be checked.,Other,Low,Low,General Support
CMP-0208,My payment was deducted but the order was not confirmed. I would like an update.,Billing,Medium,Low,Billing Support
CMP-0209,I am unhappy with the support service I received. Please help me resolve this.,Service,High,Medium,Service Support
CMP-0210,I need help with an issue not listed in the available categories. Please help me resolve this.,Other,Low,Medium,General Support
CMP-0211,My account settings are not saving. I have been facing this issue recently.,Account,High,High,Account Support
CMP-0212,The mobile application keeps showing an error. This needs to be checked.,Technical,Medium,Medium,Technical Support
CMP-0213,I need general information about the service. This needs to be checked.,Other,Medium,Medium,General Support
CMP-0214,The website is not loading for me. This needs to be checked.,Technical,Low,High,Technical Support
CMP-0215,I am unhappy with the support service I received. I have been facing this issue recently.,Service,High,High,Service Support
CMP-0216,The page keeps loading and never opens. This needs to be checked.,Technical,High,Medium,Technical Support
CMP-0217,I received a service different from what I requested. I would like an update.,Service,Low,Low,Service Support
CMP-0218,I need assistance with a general request. I would like an update.,Other,Low,High,General Support
CMP-0219,I need general information about the service. Can you assist me with this?,Other,Medium,High,General Support
CMP-0220,I need an update about my service request. Can you assist me with this?,Service,Low,Low,Service Support
CMP-0221,The application stopped working after the latest update. I would like an update.,Technical,Medium,Medium,Technical Support
CMP-0222,I need help with an issue not listed in the available categories. I have been facing this issue recently.,Other,Low,Medium,General Support
CMP-0223,I was charged an unexpected service fee. This needs to be checked.,Billing,Urgent,Medium,Billing Support
CMP-0224,The website is not loading for me. I would like an update.,Technical,Medium,Medium,Technical Support
CMP-0225,I cannot access the dashboard after logging in. Can you assist me with this?,Technical,Low,Medium,Technical Support
CMP-0226,The delivery status has not changed for several days. Please help me resolve this.,Delivery,High,High,Delivery Support
CMP-0227,I am unable to update my email address. I have been facing this issue recently.,Account,Low,High,Account Support
CMP-0228,My account details need to be updated. Please help me resolve this.,Account,Medium,Low,Account Support
CMP-0229,I need assistance with a general request. Can you assist me with this?,Other,Low,Medium,General Support
CMP-0230,I was charged an unexpected service fee. Can you assist me with this?,Billing,High,Medium,Billing Support
CMP-0231,I would like more information about the available services. Can you assist me with this?,Other,Low,Medium,General Support
CMP-0232,The service quality was not as expected. I have been facing this issue recently.,Service,High,Low,Service Support
CMP-0233,The delivered item is missing from my order. Can you assist me with this?,Delivery,High,Low,Delivery Support
CMP-0234,I am unable to update my email address. I have been facing this issue recently.,Account,Medium,Low,Account Support
CMP-0235,I was charged an unexpected service fee. This needs to be checked.,Billing,High,Low,Billing Support
CMP-0236,I received the wrong item in my delivery. This needs to be checked.,Delivery,Medium,Medium,Delivery Support
CMP-0237,I have a general support question. This needs to be checked.,Other,Low,Medium,General Support
CMP-0238,My account details need to be updated. This needs to be checked.,Account,Medium,High,Account Support
CMP-0239,The service I requested has not been provided yet. I have been facing this issue recently.,Service,Medium,Medium,Service Support
CMP-0240,A technical error appears when I submit the form.,Technical,Low,Medium,Technical Support
CMP-0241,I am not sure which department can help with my issue.,Other,Low,Low,General Support
CMP-0242,I need help understanding a charge on my account.,Billing,Medium,Medium,Billing Support
CMP-0243,My order has not been delivered yet.,Delivery,Medium,Low,Delivery Support
CMP-0244,The application stopped working after the latest update. Please help me resolve this.,Technical,Urgent,Medium,Technical Support
CMP-0245,The application stopped working after the latest update. Please help me resolve this.,Technical,Low,Low,Technical Support
CMP-0246,The application stopped working after the latest update.,Technical,High,High,Technical Support
CMP-0247,The system is responding very slowly. I would like an update.,Technical,Medium,Low,Technical Support
CMP-0248,The invoice amount is different from the amount I paid.,Billing,Medium,Medium,Billing Support
CMP-0249,The delivered item is missing from my order.,Delivery,High,Low,Delivery Support
CMP-0250,I need assistance with a general request. Can you assist me with this?,Other,Low,Low,General Support
CMP-0251,My profile information is incorrect. Can you assist me with this?,Account,Medium,Medium,Account Support
CMP-0252,The application stopped working after the latest update.,Technical,Medium,High,Technical Support
CMP-0253,I have a general support question. I would like an update.,Other,Low,High,General Support
CMP-0254,I need help understanding a charge on my account. This needs to be checked.,Billing,Medium,Low,Billing Support
CMP-0255,Please help me understand the complaint process.,Other,Medium,Low,General Support
CMP-0256,The website is not loading for me. Please help me resolve this.,Technical,High,Medium,Technical Support
CMP-0257,The delivered item is missing from my order. This needs to be checked.,Delivery,Low,Medium,Delivery Support
CMP-0258,I cannot complete account verification. Can you assist me with this?,Account,Medium,Medium,Account Support
CMP-0259,The refund amount I received is incorrect. I have been facing this issue recently.,Billing,Low,Medium,Billing Support
CMP-0260,The page keeps loading and never opens. I would like an update.,Technical,Low,Medium,Technical Support
CMP-0261,I have a question that is not covered in the FAQ. I would like an update.,Other,Low,Medium,General Support
CMP-0262,My scheduled service has been delayed. I have been facing this issue recently.,Service,Low,Low,Service Support
CMP-0263,I was charged twice for the same transaction. This needs to be checked.,Billing,High,Medium,Billing Support
CMP-0264,The system is responding very slowly.,Technical,Medium,Medium,Technical Support
CMP-0265,The service quality was not as expected. This needs to be checked.,Service,Medium,Medium,Service Support
CMP-0266,I cannot reset my account password. I would like an update.,Account,Medium,Medium,Account Support
CMP-0267,The delivery address was not handled correctly. Please help me resolve this.,Delivery,High,Medium,Delivery Support
CMP-0268,The payment failed but money was deducted from my account. Can you assist me with this?,Billing,Medium,Medium,Billing Support
CMP-0269,My package arrived damaged. This needs to be checked.,Delivery,Low,High,Delivery Support
CMP-0270,My package has been delayed unexpectedly. I have been facing this issue recently.,Delivery,Medium,Low,Delivery Support
CMP-0271,I would like more information about the available services.,Other,Low,Medium,General Support
CMP-0272,The service representative did not resolve my issue. I would like an update.,Service,Urgent,High,Service Support
CMP-0273,My order was marked delivered but I did not receive it.,Delivery,High,Medium,Delivery Support
CMP-0274,I was charged twice for the same transaction. I have been facing this issue recently.,Billing,Medium,Medium,Billing Support
CMP-0275,My profile information is incorrect. Please help me resolve this.,Account,Medium,Medium,Account Support
CMP-0276,My package has been delayed unexpectedly.,Delivery,Low,Low,Delivery Support
CMP-0277,My order has not been delivered yet. I have been facing this issue recently.,Delivery,High,Medium,Delivery Support
CMP-0278,The login credentials are not being accepted. Can you assist me with this?,Account,Medium,Low,Account Support
CMP-0279,The delivery is delayed beyond the expected date. I would like an update.,Delivery,Medium,Low,Delivery Support
CMP-0280,I need assistance with something else. This needs to be checked.,Other,Low,Low,General Support
CMP-0281,The page keeps loading and never opens. Can you assist me with this?,Technical,Urgent,Low,Technical Support
CMP-0282,I cannot access the dashboard after logging in. I would like an update.,Technical,High,Low,Technical Support
CMP-0283,I need help changing my account details. Please help me resolve this.,Account,High,Medium,Account Support
CMP-0284,The system is responding very slowly. Can you assist me with this?,Technical,Low,High,Technical Support
CMP-0285,My billing statement contains an incorrect charge. I have been facing this issue recently.,Billing,Urgent,Low,Billing Support
CMP-0286,The payment failed but money was deducted from my account. Can you assist me with this?,Billing,Medium,Medium,Billing Support
CMP-0287,I need assistance with a general request. I would like an update.,Other,Low,Low,General Support
CMP-0288,My scheduled service has been delayed. Can you assist me with this?,Service,Medium,Medium,Service Support
CMP-0289,The service quality was not as expected. This needs to be checked.,Service,Low,Low,Service Support
CMP-0290,My order was marked delivered but I did not receive it. Can you assist me with this?,Delivery,Urgent,High,Delivery Support
CMP-0291,I am not sure which department can help with my issue. Please help me resolve this.,Other,Low,Low,General Support
CMP-0292,The delivery is delayed beyond the expected date. Can you assist me with this?,Delivery,Medium,High,Delivery Support
CMP-0293,The service representative did not resolve my issue. I have been facing this issue recently.,Service,Low,Medium,Service Support
CMP-0294,The mobile application keeps showing an error.,Technical,High,Low,Technical Support
CMP-0295,I received the wrong item in my delivery. I have been facing this issue recently.,Delivery,Urgent,High,Delivery Support
CMP-0296,Please help me understand the complaint process. This needs to be checked.,Other,Medium,Medium,General Support
CMP-0297,My account settings are not saving. I have been facing this issue recently.,Account,Medium,Medium,Account Support
CMP-0298,I am not sure which department can help with my issue. Please help me resolve this.,Other,Low,Medium,General Support
CMP-0299,I would like more information about the available services. I would like an update.,Other,Low,Medium,General Support
CMP-0300,I was charged an unexpected service fee. This needs to be checked.,Billing,Medium,Low,Billing Support
CMP-0301,The service quality was not as expected. I have been facing this issue recently.,Service,Low,High,Service Support
CMP-0302,My package has been delayed unexpectedly. Can you assist me with this?,Delivery,Medium,Medium,Delivery Support
CMP-0303,I need general information about the service. This needs to be checked.,Other,Medium,Medium,General Support
CMP-0304,A technical error appears when I submit the form. Can you assist me with this?,Technical,Medium,Low,Technical Support
CMP-0305,I need help understanding a charge on my account.,Billing,Low,High,Billing Support
CMP-0306,I have a question that is not covered in the FAQ. Can you assist me with this?,Other,Low,Low,General Support
CMP-0307,Please help me understand the complaint process. This needs to be checked.,Other,Low,Medium,General Support
CMP-0308,The service representative did not resolve my issue. I would like an update.,Service,Medium,Medium,Service Support
CMP-0309,I need assistance with something else.,Other,Medium,Medium,General Support
CMP-0310,The payment failed but money was deducted from my account.,Billing,Medium,Medium,Billing Support
CMP-0311,I received a service different from what I requested. Please help me resolve this.,Service,Medium,Medium,Service Support
CMP-0312,A technical error appears when I submit the form. I would like an update.,Technical,Low,Medium,Technical Support
CMP-0313,I cannot access my registered account. Can you assist me with this?,Account,Medium,Low,Account Support
CMP-0314,My order was marked delivered but I did not receive it. I have been facing this issue recently.,Delivery,Medium,High,Delivery Support
CMP-0315,I have a general support question.,Other,Low,Medium,General Support
CMP-0316,The service I requested has not been provided yet. I would like an update.,Service,Medium,High,Service Support
CMP-0317,My service request is still pending. Please help me resolve this.,Service,High,Low,Service Support
CMP-0318,I was charged an unexpected service fee.,Billing,Medium,Medium,Billing Support
CMP-0319,I have a general support question.,Other,Low,High,General Support
CMP-0320,I received the wrong item in my delivery. Can you assist me with this?,Delivery,Medium,Low,Delivery Support
CMP-0321,I need assistance with something else. Please help me resolve this.,Other,Medium,Low,General Support
CMP-0322,I need an update about my service request. This needs to be checked.,Service,Medium,Medium,Service Support
CMP-0323,My account appears to be locked. Can you assist me with this?,Account,High,High,Account Support
CMP-0324,My account appears to be locked. I would like an update.,Account,Medium,Medium,Account Support
CMP-0325,The login credentials are not being accepted. I would like an update.,Account,Medium,Medium,Account Support
CMP-0326,I cannot access my registered account. Please help me resolve this.,Account,Low,Low,Account Support
